	Date	Symbol	TodayPrice	OpDate_0	callEst_0	putEst_0	combEst_0	Trend_0	OpDate_1	callEst_1	putEst_1	combEst_1	Trend_1	OpDate_2	callEst_2	putEst_2	combEst_2	Trend_2
26	2017-11-22	NTES	349.725	2017-12-17	361.389	285.434	336.513	Up	2018-01-18	373.913	252.715	329.017	Flat	2018-02-18	383.651	263.557	316.637	Flat
27	2017-11-22	NVDA	215.305	2017-12-17	226.955	196.48	209.722	Flat	2018-01-18	221.979	128.45	182.098	Flat	2018-02-18	232.483	157.147	195.549	Flat
28	2017-11-22	PSTG	18.185	2017-12-17	19.052	10.786	17.618	Up	2018-01-18	19.052	10.786	17.618	Up	2018-02-18	22.0	14.829	21.657	Up
29	2017-11-22	PYPL	77.305	2017-12-17	80.907	70.053	75.972	Flat	2018-01-18	78.584	65.48	75.269	Up	2018-02-18	83.656	61.773	75.176	Flat
30	2017-11-22	QCOM	67.25	2017-12-17	68.443	57.324	66.402	Up	2018-01-18	69.917	52.283	61.57	Flat	2018-02-18	72.597	56.092	68.161	Up
31	2017-11-22	QD	17.605	2017-12-17	21.365	13.456	15.92	Down	2018-01-18	21.365	13.456	15.92	Down	2018-02-18	26.256	14.826	19.854	Flat
32	2017-11-22	QIWI	15.995	2017-12-17	16.027	12.4	15.932	Up	2018-01-18	16.027	12.4	15.932	Up	2018-02-18	17.73	15.374	16.786	Flat
33	2017-11-22	RACE	111.8	2017-12-17	120.112	106.369	112.285	Flat	2018-01-18	118.713	90.549	107.905	Flat	2018-02-18	125.927	92.092	111.921	Flat
34	2017-11-22	RENN	9.995	2017-12-17	11.123	7.712	10.713	Up	2018-01-18	11.123	7.712	10.713	Up	2018-02-18	11.98	7.974	11.97	Up
35	2017-11-22	SFUN	4.655	2017-12-17	5.98	4.26	5.726	Up	2018-01-18	5.98	4.26	5.726	Up	2018-02-18		4.3	4.3	Flat
36	2017-11-22	SINA	111.865	2017-12-17	127.138	80.367	112.527	Up	2018-01-18	127.138	80.367	112.527	Up	2018-02-18	139.19	89.29	123.746	Up
37	2017-11-22	SNAP	12.495	2017-12-17	14.819	11.526	13.091	Flat	2018-01-18	15.987	11.722	13.343	Flat	2018-02-18	17.65	10.593	14.535	Flat
38	2017-11-22	SQ	47.825	2017-12-17	48.301	39.235	44.318	Flat	2018-01-18	50.209	35.351	45.08	Flat	2018-02-18	52.699	35.511	48.014	Up
39	2017-11-22	TSLA	314.63	2017-12-17	335.187	290.766	312.663	Flat	2018-01-18	371.317	212.646	288.076	Flat	2018-02-18	372.844	254.601	297.83	Flat
40	2017-11-22	TWTR	22.1	2017-12-17	23.649	19.425	23.002	Up	2018-01-18	24.891	17.264	22.633	Up	2018-02-18	24.527	15.794	20.926	Flat
41	2017-11-22	VIPS	8.605	2017-12-17	9.299	8.525	9.197	Up	2018-01-18	10.751	7.542	9.665	Flat	2018-02-18	11.801	7.357	9.087	Flat
42	2017-11-22	VRX	16.44	2017-12-17	17.094	15.295	16.375	Flat	2018-01-18	19.874	13.487	17.259	Flat	2018-02-18	18.357	12.689	17.33	Up
43	2017-11-22	WB	119.49	2017-12-17	108.999	100.448	107.893	Up	2018-01-18	120.304	68.293	94.445	Flat	2018-02-18	129.949	80.707	113.824	Up
44	2017-11-22	XLNX	72.86	2017-12-17	82.351	67.556	75.907	Flat	2018-01-18	76.347	53.943	71.79	Up	2018-02-18	75.636	61.12	71.336	Up
45	2017-11-22	YELP	46.9	2017-12-17	49.131	39.718	42.254	Down	2018-01-18	48.574	28.46	42.679	Up	2018-02-18	53.115	39.035	43.958	Flat
46	2017-11-22	ZTO	17.055	2017-12-17	17.593	14.255	15.747	Flat	2018-01-18	17.593	14.255	15.747	Flat	2018-02-18	18.673	13.542	18.228	Up
